Biostatistical Analysis,Fourth,Zar
Real Analysis,,Klambauer
Point Sets,,Cech
Mathematical Analysis,,Apostol
 Bodove Monoziny,,Cech
Goodness of Fit Statistics for Discrete Multivariate Data,,"Read, Cressie"
Introduction to Measure and Integration,,Munroe
Nonparametric Statistics,,Siegel
Study Guide to Accompany Russell: General Chemistry,,Eatough
Nonparametrics: Statistical Methods based on Ranks,,Lehmann
Elements of Nonparametric Statistics,,Noether
Complex Analysis,2,Ahlfors
Nonparametric Statistical Methods,,"Hollander, Wolfe"
Nonparametric Methods in Multivariate Analysis,,"Puri, Sen"
Analysis of Binary Data,2,"Cox, Snell"
Time Sequence Analysis in Geophysics,2nd revised,Kanasewich
Regression Graphics,,Cook
Bayesian Data Analysis,2,"Gelman, Carlin, Stern, Rubin"
Bayesian Statistical Modelling,2,Congdon
Statistical Quality Control Methods,Vol 16,Burr
Statistical Methods for Rates and Proportions,2,Fleiss
Statistical Principles of Research Design and Analysis,,Kuehl
Fourier Analysis of Time Series: An Introduction,,Bloomfield
The New S Language,,"Becker, Chambers, Wilks"
Classical and Modern Regression with Applications,2,Myers
Applied Regression Analysis and Multivariable Methods,3,"Kleinbaum, Kupper, Nizam, Muller"
Introduction to Regression Modelling,,"Abraham, Ledolter"
Applied Regression Analysis and other Multivariable Methods,,"Kleinbaum, Kupper"
Statistics and Experimental Design in Engineering and the Physical Sciences vol 1,2,"Johnson, Leone"
Statistics and Experimental Design in Engineering and the Physical Sciences vol 2,2,"Johnson, Leone"
Bootstrap Methods and their Application,,"Davison, Hinkley"
Computational Statistics,,"Givens, Hoeting"
The Statistical Analysis of Failure Time Data,,"Kalbfleisch, Prentice"
Statistical Analysis of Geographic Information,,"Wong, Lee"
Experimental Design: Procedures for the Behavioral Sciences,,Kirk
Experimental Designs,2,"Cochran, Cox"
Time Series: Data Analysis and Theory,,Brillinger
Intermediate Business Statistics,,"Miller, Wichern"
Fundamentals of Biostatistics,5,Rosner
Study Guide for Fundamentals of Biostatistics,5,Rosner
Operations Research: Applications and Algorithms,,Winston
Introduction to Statistical Time Series,,Fuller
Introductory Engineering Statistics,3,"Guttman, Wilks, Hunter"
Introduction to Time Series and Forecasting,2,"Brockwell, Davis"
Introduction to Linear Regression Analysis,4,"Montgomery, Peck, Vining"
Measure and Integration,,Berberian
General Statistics,4,"Chase, Bown"
Introductory Mathematical Analysis,4,Eaves
Probability and Statistics,2,Devore
Introduction to Functional Analysis,,Taylor
Regression Analysis: Concepts and Applications,,"Graybill, Iyer"
Principles of Econometrics,,Theil
Continuous Univariate Distributions I: Distributions in Statistics,,"Johnson, Kotz"
Probability and Statistical Inference I,,Kalbfleisch
Testing Statistical Hypotheses,2,Lehmann
Lebesgue Integration,,Williamson
Multiple Time Series,,Hannan
The Theory of Interest,,Kellison
A First Course in Numerical Analysis,2,"Ralston, Rabinowitz"
The Theory of Statistical Inference,,Zacks
Testing Statistical Hypotheses,,Lehmann
The History of Statistics,,Stigler
Theory of Matrices,,Lancaster
Linear Statistical Inference and Its Applications,,Rao
The Lognormal Distribution,,"Aitchison, Brown"
Discrete Distributions,,"Johnson, Kotz"
Analysis of Variance,,Guenther
Linear Differential Operators,,Lanczos
Introduction to Time Series and Forecasting,,"Brockwell, Davis"
Time Series Analysis: Forecasting and Control,Revised,"Box, Jenkins"
Time Series,2,Kendall
Introduction to Time Series Analysis and Forecasting,,"Montgomery, Jennings, Kulahci"
Time Series Analysis: Forecasting and Control,4,"Box, Jenkins, Reinsel"
Statistical Concepts and Methods,,"Bhattacharyya, Johnson"
Fundamental Concepts in the Design of Experiments,2,Hicks
Applied Statistics and the SAS Programming Language,5,"Cody, Smith"
Time Series Analysis,2,Wei
Theory of Point Estimation,,Lehmann
Fitting Equations to Data,2,"Daniel, Wood"
Statistics and Data Analysis in Geology,,Davis
Time Series Analysis: Forecasting and Control,3,"Box, Jenkins, Reinsel"
Time Series Analysis,2,Wei
"Monte Carlo: Concepts, Algorithms, and Applications",,Fishman
Distributions in Statistics: Continuous Univariate Distributions 2,,"Johnson, Kotz"
An Introduction to Mathematical Statistics,2,Brunk
Test Bank for Moore and McCabe's Intro to the Practice of Statistics,4,"Flinger, Notz"
